4 км, 54.674011, 20.531794
7 км, 54.801929, 20.518293
13 км, 54.737081, 20.329378
18 км, 54.734575, 20.262856
20 км-Бгрт, 54.530150, 20.569589
20 км-Свет, 54.818479, 20.280578
21 км, 54.517948, 20.574672
29 км, 54.740843, 20.078550
45 км, 54.659934, 19.918587
119 км, 55.072265, 21.783522
1252 км, 54.633167, 20.982408
1271 км, 54.638448, 20.702017
1298 км, 54.600548, 20.393451
1305 км, 54.565642, 20.326226
1307 км, 54.562658, 20.284894
1312 км, 54.572529, 20.221337
1333 км, 54.481293, 19.953925
Айвазовский, 54.673215, 20.569331
Багратионовск, 54.392683, 20.647702
Баевка-1, 54.809246, 20.758207
Баевка-2, 54.813126, 20.795031
Балтийск, 54.644530, 19.896518
Богатово, 54.844841, 21.347318
Большаково, 54.882603, 21.644080
Брусничная, 54.712139, 20.428049
Веселовка, 54.588207, 22.011759
Владимиров, 54.584792, 20.562320
Гвардейск, 54.635845, 21.068869
Голубево, 54.615619, 20.408688
Гурьевск-1, 54.780377, 20.587006
Гурьевск-2, 54.792556, 20.630278
Гусев, 54.584923, 22.198808
Дивное, 54.605610, 22.400072
Добрино, 54.813619, 20.869388
Дружное, 54.781025, 20.350344
Залесье, 54.846633, 21.524559
Западный, 54.710655, 20.457096
Зеленоградск, 54.958020, 20.473239
Знаменка, 54.512081, 20.003370
Знаменск, 54.615082, 21.214875
Калининград-Северный, 54.721515, 20.501028
Калининград-Южный, 54.693758, 20.498955
Каштановка, 54.868569, 20.492995
Киевская, 54.682003, 20.470333
Колосовка, 54.801919, 20.303686
Комсомольск, 54.624597, 20.755409
Константиновка, 54.807120, 20.689250
Куликово, 54.930067, 20.323643
Кутузово, 54.746389, 20.532541
Ладушкин, 54.570767, 20.176925
Лесное, 54.728404, 20.364655
Луговое, 54.652110, 20.623190
Люблино, 54.736473, 20.299572
Малиновка, 54.949606, 20.440275
Мамоново, 54.464335, 19.934739
Междуречье, 54.619539, 21.543814
Мечниково, 54.682575, 19.932110
Муромское, 54.895004, 20.487020
Нестеров, 54.628826, 22.578809
Озерки, 54.630507, 20.895491
Отважное, 54.616706, 20.549753
Пастухово, 54.614858, 21.653461
Переславское, 54.840652, 20.252111
Петино, 54.839817, 21.276894
Пионерский Курорт, 54.949136, 20.225338
Полесск, 54.855486, 21.100680
Приморск, 54.732142, 20.003703
Приморское, 54.543898, 20.058653
Приморье, 54.950535, 20.454158
Пушкарево, 54.621909, 21.379511
Ржевское, 55.073669, 21.727430
Романово, 54.897982, 20.238846
Рощино, 54.928810, 20.362897
Рябиновка, 54.827468, 20.507348
Светлогорск-1, 54.933378, 20.160710
Светлогорск-2, 54.944111, 20.146820
Светлое, 54.578993, 20.356141
Сельма, 54.739533, 20.483441
Славск, 55.043137, 21.659735
Славянское, 54.839220, 20.974458
Советск, 55.082759, 21.879656
Сокольники-1, 54.943536, 20.413334
Сокольники-2, 54.938916, 20.396884
Сосновка, 54.933160, 20.490004
Сосновый Бор, 54.556916, 20.113188
Стрельня, 54.507348, 20.582091
Чернышевское, 54.636907, 22.734524
Черняховск, 54.628576, 21.818842
Чкаловск, 54.764818, 20.445629
Шиповка, 54.740995, 20.187848
Шолохово, 54.842740, 21.210077
Щегловка, 55.079213, 21.650432